ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2025-10-22,125.42,129.27,123.81,126.81,127.19,-0.38,-0.2988,653954.11,8265031.817,153.0,109.8,131.4,43.2,32.87671232876712,False,False
688981.SH,2025-10-23,125.18,128.5,124.01,128.3,126.81,1.49,1.175,634264.02,8038110.025,153.0,116.35,134.675,36.650000000000006,27.21366252088361,False,False
688981.SH,2025-10-24,130.3,134.8,128.9,134.06,128.3,5.76,4.4895,1024466.21,13548726.657,153.0,119.05,136.025,33.95,24.958647307480245,False,False
688981.SH,2025-10-27,137.5,137.5,132.3,134.5,134.06,0.44,0.3282,1012643.04,13623206.912,153.0,119.05,136.025,33.95,24.958647307480245,False,False
688981.SH,2025-10-28,133.0,135.8,132.0,132.69,134.5,-1.81,-1.3457,695189.45,9299045.972,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-29,132.0,134.53,130.31,133.0,132.69,0.31,0.2336,688460.74,9111437.51,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-30,133.0,133.0,128.51,128.55,133.0,-4.45,-3.3459,692863.97,9018982.748,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-10-31,128.03,128.7,124.18,124.18,128.55,-4.37,-3.3995,691668.89,8692098.673,153.0,120.87,136.935,32.129999999999995,23.463687150837988,False,False
688981.SH,2025-11-03,122.0,122.6,117.55,120.21,124.18,-3.97,-3.197,747709.27,8940382.093,153.0,117.55,135.275,35.45,26.2058769173905,False,False
688981.SH,2025-11-04,121.0,122.66,119.0,119.88,120.21,-0.33,-0.2745,477384.17,5770504.489,153.0,117.55,135.275,35.45,26.2058769173905,False,False
688981.SH,2025-11-05,116.9,121.1,116.5,119.78,119.88,-0.1,-0.0834,485016.0,5753269.424,153.0,116.5,134.75,36.5,27.087198515769945,False,False
688981.SH,2025-11-06,121.9,125.99,121.05,124.85,119.78,5.07,4.2328,731507.65,9060521.121,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-07,122.93,124.18,122.05,122.11,124.85,-2.74,-2.1946,382292.14,4694221.497,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-10,122.13,122.95,118.76,120.01,122.11,-2.1,-1.7198,395832.71,4749065.264,137.8,116.5,127.15,21.30000000000001,16.751867872591436,False,False
688981.SH,2025-11-11,120.6,121.47,117.53,117.73,120.01,-2.28,-1.8998,342530.08,4073862.296,137.5,116.5,127.0,21.0,16.535433070866144,False,False
688981.SH,2025-11-12,117.0,119.8,115.74,119.63,117.73,1.9,1.6139,457015.52,5405408.039,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-13,118.99,123.33,117.8,123.1,119.63,3.47,2.9006,549888.53,6638319.087,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-14,123.0,125.5,117.89,118.18,123.1,-4.92,-3.9968,775293.52,9432871.553,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-17,116.82,119.29,116.51,117.63,118.18,-0.55,-0.4654,421773.41,4961789.944,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-18,117.5,120.18,117.13,117.96,117.63,0.33,0.2805,473915.08,5629538.134,137.5,115.74,126.62,21.760000000000005,17.1852787869215,False,False
688981.SH,2025-11-19,117.99,118.49,115.51,116.28,117.96,-1.68,-1.4242,415119.56,4848790.041,137.5,115.51,126.505,21.989999999999995,17.382712145764987,False,False
688981.SH,2025-11-20,117.99,118.29,116.46,116.78,116.28,0.5,0.43,344702.85,4045624.435,137.5,115.51,126.505,21.989999999999995,17.382712145764987,False,False
688981.SH,2025-11-21,113.86,116.08,113.0,113.0,116.78,-3.78,-3.2369,461358.62,5264860.634,137.5,113.0,125.25,24.5,19.560878243512974,False,False
688981.SH,2025-11-24,112.99,113.5,108.18,111.51,113.0,-1.49,-1.3186,557908.63,6159093.355,135.8,108.18,121.99000000000001,27.620000000000005,22.64120009836872,False,False
688981.SH,2025-11-25,112.5,113.96,111.37,111.68,111.51,0.17,0.1525,407223.82,4584278.768,134.53,108.18,121.355,26.349999999999994,21.713155617815495,False,False
688981.SH,2025-11-26,110.7,113.9,110.61,112.71,111.68,1.03,0.9223,419553.57,4731195.304,133.0,108.18,120.59,24.819999999999993,20.582137822373326,False,False
688981.SH,2025-11-27,113.8,116.8,112.56,112.71,112.71,0.0,0.0,523431.12,6012840.143,128.7,108.18,118.44,20.519999999999982,17.325227963525823,False,False
688981.SH,2025-11-28,112.71,114.11,111.4,113.6,112.71,0.89,0.7896,308663.84,3486790.036,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-01,113.4,114.68,112.6,114.4,113.6,0.8,0.7042,327640.04,3724984.486,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-02,114.1,114.19,112.7,113.0,114.4,-1.4,-1.2238,237771.82,2694922.636,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-03,112.8,113.69,111.13,111.62,113.0,-1.38,-1.2212,245413.59,2756774.41,125.99,108.18,117.08500000000001,17.809999999999988,15.21117137122602,False,False
688981.SH,2025-12-04,111.65,114.73,110.98,114.73,111.62,3.11,2.7862,387551.96,4392462.735,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-05,114.0,114.88,112.5,114.18,114.73,-0.55,-0.4794,352653.66,4015690.336,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-08,114.21,118.0,114.18,117.2,114.18,3.02,2.6449,508359.77,5945081.548,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-09,115.58,117.9,115.51,116.32,117.2,-0.88,-0.7509,371384.45,4333826.426,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-10,115.58,116.59,113.44,116.31,116.32,-0.01,-0.0086,315714.73,3624511.935,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-11,116.53,117.14,113.5,113.61,116.31,-2.7,-2.3214,303108.96,3488207.042,125.5,108.18,116.84,17.319999999999993,14.823690516946245,False,False
688981.SH,2025-12-12,113.61,117.42,111.6,116.8,113.61,3.19,2.8079,584998.04,6734945.965,120.18,108.18,114.18,12.0,10.509721492380452,False,False
688981.SH,2025-12-15,115.15,116.5,113.0,113.01,116.8,-3.79,-3.2449,342417.46,3933791.146,120.18,108.18,114.18,12.0,10.509721492380452,False,False
688981.SH,2025-12-16,112.5,113.35,110.27,110.7,113.01,-2.31,-2.0441,323379.53,3605859.884,118.49,108.18,113.33500000000001,10.309999999999988,9.096925045219912,False,False
688981.SH,2025-12-17,110.82,113.9,110.13,113.29,110.7,2.59,2.3397,343892.72,3848931.232,118.29,108.18,113.23500000000001,10.11,8.92833487879189,False,False
688981.SH,2025-12-18,112.8,115.72,112.75,112.8,113.29,-0.49,-0.4325,314700.29,3583327.202,118.0,108.18,113.09,9.819999999999993,8.683349544610481,False,False
688981.SH,2025-12-19,113.2,115.48,113.0,113.63,112.8,0.83,0.7358,272612.5,3107493.842,118.0,108.18,113.09,9.819999999999993,8.683349544610481,False,False
688981.SH,2025-12-22,114.6,121.44,114.6,120.45,113.63,6.82,6.0019,810113.69,9622360.396,121.44,110.13,115.785,11.310000000000002,9.768104676771605,False,False
688981.SH,2025-12-23,120.5,121.58,119.02,119.9,120.45,-0.55,-0.4566,483601.42,5823920.043,121.58,110.13,115.85499999999999,11.450000000000003,9.883043459496788,False,False
688981.SH,2025-12-24,122.5,124.38,121.11,123.41,119.9,3.51,2.9274,629560.98,7744549.16,124.38,110.13,117.255,14.25,12.152999872073686,False,False
688981.SH,2025-12-25,123.0,125.99,122.66,123.08,123.41,-0.33,-0.2674,471809.58,5854142.202,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-26,122.58,124.79,121.16,122.1,123.08,-0.98,-0.7962,402397.99,4938389.58,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-29,123.0,125.65,122.02,122.5,122.1,0.4,0.3276,506831.61,6280270.177,125.99,110.13,118.06,15.86,13.433847196340842,False,False
688981.SH,2025-12-30,124.45,126.69,124.0,125.28,122.5,2.78,2.2694,604958.31,7582347.029,126.69,110.13,118.41,16.560000000000002,13.985305295160884,False,False
688981.SH,2025-12-31,125.99,126.2,122.4,122.83,125.28,-2.45,-1.9556,411586.85,5082728.445,126.69,110.13,118.41,16.560000000000002,13.985305295160884,False,False
688981.SH,2026-01-05,126.84,130.17,126.2,129.95,122.83,7.12,5.7966,911394.04,11742866.839,130.17,110.13,120.14999999999999,20.039999999999992,16.679151061173528,False,False
